GameId,Date,StartTime,Visitor,VPTS,Home,HPTS
1,"Apr 1, 2021",3:30p,Minnesota Timberwolves,106,Los Angeles Clippers,118
2,"Apr 1, 2021",7:00p,New York Knicks,92,Indiana Pacers,85
3,"Apr 1, 2021",7:00p,Miami Heat,102,Orlando Magic,89
4,"Apr 1, 2021",8:00p,Golden State Warriors,131,Cleveland Cavaliers,112
5,"Apr 1, 2021",8:00p,Brooklyn Nets,107,Washington Wizards,113
6,"Apr 1, 2021",8:30p,Philadelphia 76ers,95,Boston Celtics,116
7,"Apr 1, 2021",8:30p,Atlanta Hawks,100,Dallas Mavericks,123
8,"Apr 1, 2021",9:00p,Charlotte Hornets,90,San Antonio Spurs,114
9,"Apr 1, 2021",10:00p,Los Angeles Lakers,129,Sacramento Kings,113
10,"Apr 1, 2021",10:30p,Utah Jazz,107,Portland Trail Blazers,124
11,"Apr 2, 2021",12:30p,Denver Nuggets,123,Detroit Pistons,128
12,"Apr 2, 2021",2:00p,New Orleans Pelicans,109,Houston Rockets,117
13,"Apr 2, 2021",2:00p,Phoenix Suns,108,Milwaukee Bucks,129
14,"Apr 2, 2021",3:00p,Chicago Bulls,102,Toronto Raptors,129
15,"Apr 3, 2021",7:00p,Orlando Magic,112,Charlotte Hornets,100
16,"Apr 3, 2021",7:00p,New York Knicks,139,Cleveland Cavaliers,134
17,"Apr 3, 2021",7:00p,Dallas Mavericks,112,Indiana Pacers,103
18,"Apr 3, 2021",7:00p,Golden State Warriors,125,Washington Wizards,117
19,"Apr 3, 2021",7:30p,Boston Celtics,123,Atlanta Hawks,115
20,"Apr 3, 2021",7:30p,Phoenix Suns,97,Brooklyn Nets,119
21,"Apr 3, 2021",7:30p,Philadelphia 76ers,106,Miami Heat,137
22,"Apr 3, 2021",8:00p,Detroit Pistons,82,Memphis Grizzlies,96
23,"Apr 3, 2021",10:00p,Minnesota Timberwolves,109,Sacramento Kings,113
24,"Apr 3, 2021",10:30p,San Antonio Spurs,105,Los Angeles Clippers,108
25,"Apr 4, 2021",7:30p,Milwaukee Bucks,120,New Orleans Pelicans,108
26,"Apr 4, 2021",8:00p,Charlotte Hornets,110,Houston Rockets,125
27,"Apr 4, 2021",9:00p,Portland Trail Blazers,99,Denver Nuggets,127
28,"Apr 4, 2021",10:00p,San Antonio Spurs,102,Los Angeles Lakers,129
29,"Apr 5, 2021",7:00p,Phoenix Suns,108,Detroit Pistons,116
30,"Apr 5, 2021",7:30p,Orlando Magic,100,Boston Celtics,116
31,"Apr 5, 2021",7:30p,Golden State Warriors,88,Brooklyn Nets,129
32,"Apr 5, 2021",7:30p,Indiana Pacers,118,Toronto Raptors,119
33,"Apr 5, 2021",8:00p,Atlanta Hawks,127,Minnesota Timberwolves,120
34,"Apr 5, 2021",8:00p,Cleveland Cavaliers,103,Oklahoma City Thunder,109
35,"Apr 5, 2021",8:30p,Memphis Grizzlies,121,Dallas Mavericks,107
36,"Apr 5, 2021",9:00p,Denver Nuggets,98,Utah Jazz,95
37,"Apr 5, 2021",10:00p,Miami Heat,111,Los Angeles Clippers,128
38,"Apr 6, 2021",7:30p,Orlando Magic,103,New York Knicks,105
39,"Apr 6, 2021",8:00p,New Orleans Pelicans,125,Chicago Bulls,119
40,"Apr 6, 2021",8:00p,Philadelphia 76ers,101,Milwaukee Bucks,112
41,"Apr 6, 2021",10:00p,San Antonio Spurs,117,Portland Trail Blazers,125
42,"Apr 6, 2021",10:30p,Houston Rockets,121,Los Angeles Lakers,111
43,"Apr 7, 2021",7:00p,Memphis Grizzlies,107,Philadelphia 76ers,119
44,"Apr 7, 2021",7:00p,Dallas Mavericks,118,Washington Wizards,119
45,"Apr 7, 2021",7:30p,Atlanta Hawks,107,Boston Celtics,112
46,"Apr 7, 2021",8:00p,Toronto Raptors,115,Indiana Pacers,106
47,"Apr 7, 2021",8:00p,Detroit Pistons,101,Oklahoma City Thunder,108
