GameId,Date,StartTime,Visitor,VPTS,Home,HPTS
169,5/1/2020,9:00p,Portland Trail Blazers,97,Denver Nuggets,90
170,5/2/2020,8:00p,Toronto Raptors,95,Philadelphia 76ers,116
171,5/3/2020,8:00p,Milwaukee Bucks,123,Boston Celtics,116
172,5/3/2020,10:30p,Denver Nuggets,137,Portland Trail Blazers,140
173,5/4/2020,8:30p,Golden State Warriors,121,Houston Rockets,126
174,5/5/2020,3:30p,Toronto Raptors,101,Philadelphia 76ers,96
175,5/5/2020,7:00p,Denver Nuggets,116,Portland Trail Blazers,112
176,5/6/2020,7:00p,Milwaukee Bucks,113,Boston Celtics,101
177,5/6/2020,9:30p,Golden State Warriors,108,Houston Rockets,112
178,5/7/2020,8:00p,Philadelphia 76ers,89,Toronto Raptors,125
179,5/7/2020,10:30p,Portland Trail Blazers,98,Denver Nuggets,124
180,5/8/2020,8:00p,Boston Celtics,91,Milwaukee Bucks,116
181,5/8/2020,10:30p,Houston Rockets,99,Golden State Warriors,104
182,5/9/2020,8:00p,Toronto Raptors,101,Philadelphia 76ers,112
183,5/9/2020,10:30p,Denver Nuggets,108,Portland Trail Blazers,119
184,5/10/2020,9:00p,Golden State Warriors,118,Houston Rockets,113
185,5/12/2020,3:30p,Portland Trail Blazers,100,Denver Nuggets,96
186,5/12/2020,7:00p,Philadelphia 76ers,90,Toronto Raptors,92
187,5/14/2020,9:00p,Portland Trail Blazers,94,Golden State Warriors,116
188,5/15/2020,8:30p,Toronto Raptors,100,Milwaukee Bucks,108
189,5/16/2020,9:00p,Portland Trail Blazers,111,Golden State Warriors,114
190,5/17/2020,8:30p,Toronto Raptors,103,Milwaukee Bucks,125
191,5/18/2020,9:00p,Golden State Warriors,110,Portland Trail Blazers,99
192,5/19/2020,7:00p,Milwaukee Bucks,112,Toronto Raptors,118
193,5/20/2020,9:00p,Golden State Warriors,119,Portland Trail Blazers,117
194,5/21/2020,8:30p,Milwaukee Bucks,102,Toronto Raptors,120
195,5/23/2020,8:30p,Toronto Raptors,105,Milwaukee Bucks,99
196,5/25/2020,8:30p,Milwaukee Bucks,94,Toronto Raptors,100
197,5/30/2020,9:00p,Golden State Warriors,109,Toronto Raptors,118
