teamid,teamname,teamlocation,teamarena,2019record,2020record
1,Atlanta Hawks,"Atlanta, Georgia",State Farm Arena,20-47,30-26
2,Boston Celtics,"Boston, Massachusetts",TD Garden,48-24,30-26
3,Brooklyn Nets,"Brooklyn, New York",Barclays Center,35-37,38-18
4,Charlotte Hornets,"Charlotte, North Carolina",Spectrum Center,23-42,27-28
5,Chicago Bulls,"Chicago, Illinois",United Center,22-43,22-33
6,Cleveland Cavaliers,"Cleveland, Ohio",Rocket Mortgage Fieldhouse,19-46,20-35
7,Dallas Mavericks,"Dallas, Texas",American Airlines Center,43-32,30-25
8,Denver Nuggets,"Denver, Colorado",Pepsi Center,46-27,36-20
9,Detroit Pistons,"Detroit, Michigan",Little Caesars Arena,20-46,17-39
10,Golden State Warriors,"San Francisco, California",Chase Center,15-50,28-28
11,Houston Rockets,"Houston, Texas",Toyota Center,44-28,14-42
12,Indiana Pacers,"Indianapolis, Indiana",Bankers Life Fieldhouse,45-28,26-29
13,Los Angeles Clippers,"Los Angeles, California",Staples Center,49-23,39-19
14,Los Angeles Lakers,"Los Angeles, California",Staples Center,52-19,34-22
15,Memphis Grizzlies,"Memphis, Tennessee",FedEx Forum,34-39,28-26
16,Miami Heat,"Miami, Florida",American Airlines Arena,44-29,28-28
17,Milwaukee Bucks,"Milwaukee, Wisconsin",Fiserv Forum,56-17,35-20
18,Minnesota Timberwolves,"Minneapolis, Minnesota",Target Center,19-45,15-42
19,New Orleans Pelicans,"New Orleans, Louisiana",Smoothie King Center,30-42,25-31
20,New York Knicks,"New York City, New York",Madison Square Garden,21-45,30-27
21,Oklahoma City Thunder,"Oklahoma City, Oklahoma",Chesapeake Energy Arena,44-28,20-36
22,Orlando Magic,"Orlando, Florida",Amway Center,33-40,18-38
23,Philadelphia 76ers,"Philadelphia, Pennsylvania",Wells Fargo Center,43-30,39-17
24,Phoenix Suns,"Phoenix, Arizona",Talking Stick Resort Arena,34-39,40-15
25,Portland Trail Blazers,"Portland, Oregon",Moda Center,35-39,32-23
26,Sacramento Kings,"Sacramento, California",Golden 1 Center,31-41,22-34
27,San Antonio Spurs,"San Antonio, Texas",AT&T Center,32-39,26-28
28,Toronto Raptors,"Toronto, Ontario",Scotiabank Arena,53-19,23-34
29,Utah Jazz,"Salt Lake City, Utah",Vivint Smart Home Arena,44-28,42-14
30,Washington Wizards,"Washington, D.C.",Capital One Arena,25-47,22-33
